name,terminology,code,term
cocp,BNF,0703010E0AAAAAA,Ethinylest/Norethist Acet_Tab 20mcg/1mg
cocp,BNF,0703010E0AAABAB,Ethinylest/Desogestrel_Tab 20mcg/150mcg
cocp,BNF,0703010E0AAACAC,Ethinylestr/Gestodene_Tab 20mcg/75mcg
cocp,BNF,0703010E0AAADAD,Levonorgest/Ethinylestr_Tab 100/20mcg
cocp,BNF,0703010E0AAAEAE,Ethinylestr/Norelgest_24 Hr T/Derm Patch
cocp,BNF,0703010E0AAAFAF,Ethinylestr/Drospirenone_Tab 20mcg/3mg
cocp,BNF,0703010E0BBAAAA,Loestrin 20_Tab
cocp,BNF,0703010E0BCAAAB,Mercilon_Tab
cocp,BNF,0703010E0BDAAAC,Femodette_Tab
cocp,BNF,0703010E0BEAAAD,Miranova_Tab
cocp,BNF,0703010E0BFAAAD,Loette_Tab
cocp,BNF,0703010E0BGAAAE,Evra_Patch
cocp,BNF,0703010E0BHAAAC,Sunya 20/75_Tab
cocp,BNF,0703010E0BIAAAB,Gedarel_Tab 20/150mcg
cocp,BNF,0703010E0BJAAAC,Millinette_Tab 20/75mcg
cocp,BNF,0703010E0BKAAAF,Yaz_Tab
cocp,BNF,0703010E0BLAAAB,Lestramyl_Tab 20mcg/150mcg
cocp,BNF,0703010E0BMAAAC,Aidulan_Tab 20mcg/75mcg
cocp,BNF,0703010E0BNAAAB,Munalea_Tab 150mcg/20mcg
cocp,BNF,0703010E0BPAAAB,Alenini_Tab 150mcg/20mcg
cocp,BNF,0703010E0BQAAAB,Bimizza_Tab 20mcg/150mcg
cocp,BNF,0703010E0BRAAAF,Eloine_Tab 0.02mg/3mg
cocp,BNF,0703010E0BSAAAF,Daylette_Tab 0.02mg/3mg
cocp,BNF,0703010E0BTAAAC,Juliperla_Tab 75mcg/20mcg
cocp,BNF,0703010E0BUAAAC,Akizza 75microgram/20microgram tablets
cocp,BNF,0703010F0AAAAAA,Ethinylest/Desogestrel_Tab 30mcg/150mcg
cocp,BNF,0703010F0AAABAB,Levonorgest/Ethinylestr_Tab 250/30mcg
cocp,BNF,0703010F0AAACAC,Ethinylest/Levonorgest_Tab 30/150mcg
cocp,BNF,0703010F0AAADAD,Gppe Tab_Conova 30
cocp,BNF,0703010F0AAAEAE,Ethinylestr/Gestodene_Tab 30mcg/75mcg
cocp,BNF,0703010F0AAAFAF,Ethinylest/Norethist Acet_Tab30mcg/1.5mg
cocp,BNF,0703010F0AAAGAG,Gppe Tab_Femodene-ED
cocp,BNF,0703010F0AAAHAH,Gppe Tab_Microgynon 30 ED
cocp,BNF,0703010F0AAAIAI,Ethinylestr/Dienogest_Tab 30mcg/2mg
